CompanyName,RightStock?,CMP,PriceChange%,MarketCap,52WHigh,52WLow,ROE,P/E,P/BV,EV/EBITDA
Hero MotoCorp Ltd.,Very Good,1695.0,-7.86,36735.0,3021.0,1650.0,25.68,9.81,2.43,6.77
NTPC Ltd.,SomewhatGood,81.3,-8.08,87517.0,145.8,81.5,11.42,8.15,0.8,11.92
UPL Ltd.,Very Good,321.8,-8.29,26805.0,709.2,343.3,15.83,22.83,1.76,13.09
HDFC Bank Ltd.,Very Good,878.5,-9.92,534.0,1304.0,919.5,17.05,20.35,3.17,0
Bajaj Finserv Ltd.,Very Good,6317.0,-9.97,111.0,10297.0,6500.0,24.29,27.86,3.99,0
Bajaj Finance Ltd.,Very Good,3062.0,-11.11,207.0,4923.0,2800.0,22.13,40.62,6.53,0
Kotak Mahindra Bank Ltd.,Very Good,1173.0,-11.23,252.0,1740.0,1247.0,12.18,41.51,5.38,0
Power Grid Corporation Of India Ltd.,SomewhatGood,143.8,-11.29,84830.0,216.2,150.0,20.75,5.51,1.6,7.67
Bharti Infratel Ltd.,Very Good,150.2,-22.62,35892.0,333.4,175.3,15.2,20.76,2.54,10.91
IndusInd Bank Ltd.,Very Good,459.9,-23.9,41910.0,1835.0,550.0,13.25,9.36,1.24,0
